Asset Name;Type;Criticality;Classification;Owner;Location
UAT Database VM1;Cloud VM (Hyper-V);Low;Internal;NOC Team;SEACOM Cloud
seacom-soa-qa-acs01;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-qa-app01;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-qa-app02;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-qa-ctl01;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-qa-db01;Cloud VM (Hyper-V);Low;Confidential;iPaaS / Integration;SEACOM Cloud
seacom-soa-qa-db02;Cloud VM (Hyper-V);Low;Confidential;iPaaS / Integration;SEACOM Cloud
seacom-soa-dev-acs01;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-dev-app01;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-dev-app02;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-dev-ctl01;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-dev-db01;Cloud VM (Hyper-V);Low;Confidential;iPaaS / Integration;SEACOM Cloud
seacom-soa-de-db02;Cloud VM (Hyper-V);Low;Confidential;iPaaS / Integration;SEACOM Cloud
dce-01-jnb.seacom.mu;Cloud VM (Hyper-V);Medium;Internal;IRIS / NMS;SEACOM Cloud
ZKTBIOSEC;Cloud VM (Hyper-V);Medium;Internal;Security / Access;SEACOM Cloud
TM4-01;Cloud VM (Hyper-V);Medium;Internal;Security / Access;SEACOM Cloud
SeacomCloud01;Cloud VM (Hyper-V);Medium;Internal;SEACOM Cloud Ops;SEACOM Cloud
Dev-ErpApp-01;Cloud VM (Hyper-V);Low;Confidential;ERP / Billing;SEACOM Cloud
Dev-ErpDB-01;Cloud VM (Hyper-V);Low;Confidential;ERP / Billing;SEACOM Cloud
Dev-ErpDB-02;Cloud VM (Hyper-V);Low;Confidential;ERP / Billing;SEACOM Cloud
BILLING-APP3-QA;Cloud VM (Hyper-V);Low;Confidential;ERP / Billing;SEACOM Cloud
BILLING-DB-QA;Cloud VM (Hyper-V);Low;Confidential;ERP / Billing;SEACOM Cloud
QA-ERP-APP01;Cloud VM (Hyper-V);Low;Confidential;ERP / Billing;SEACOM Cloud
QA-ERP-DB01;Cloud VM (Hyper-V);Low;Confidential;ERP / Billing;SEACOM Cloud
Seacom-LiveSQL-01;Cloud VM (Hyper-V);High;Confidential;ERP / Billing;SEACOM Cloud
Seacom-LiveERP-01;Cloud VM (Hyper-V);High;Confidential;ERP / Billing;SEACOM Cloud
Live-BillApp-01;Cloud VM (Hyper-V);High;Confidential;ERP / Billing;SEACOM Cloud
Live-BillAppDB-01;Cloud VM (Hyper-V);High;Confidential;ERP / Billing;SEACOM Cloud
Observium-02;Cloud VM (Hyper-V);High;Confidential;ERP / Billing;SEACOM Cloud
Bi360-App01;Cloud VM (Hyper-V);High;Confidential;ERP / Billing;SEACOM Cloud
Bi360-DB01;Cloud VM (Hyper-V);High;Confidential;ERP / Billing;SEACOM Cloud
Dyn Vantage Point-CPT;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
ln-01-cpt.za;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
ns-02-cpt;Virtual Machine;High;Internal;Infrastructure / Virtualisation;Cape Town
rs-01-cpt;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
sl-01-cpt.za;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Cape Town
ln-01-ebb.ug.seacomnet.com;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Entebbe
vs-01-ebb v 7.0;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Entebbe
Dyn Probe-EMG;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
EXFO RTU NMS-FMS;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
FreeBSD (64-bit);Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Influxd;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
Other Linux (64-bit);Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
TX Pfsense;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp.seacom.io copy;Virtual Machine;Low;Internal;Infrastructure / Virtualisation;Mtunzini
cp2.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp3.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp4.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
cp5.seacom.io;Virtual Machine;Medium;Internal;Infrastructure / Virtualisation;Mtunzini
